Strain,Nuclear,Mito,Petite,Grande,Petitefrequency,SD_Pheno_30,SD_Pheno_37
RC010,10,YPS606,154,1199,11.38211382,2.840862472,2.850019971
RC011,11,YPS606,10,527,1.862197393,5.514033327,4.967617513
RC012,12,YPS606,49,1140,4.121110177,5.068959572,4.661592256
RC013,13,YPS606,20,2051,0.965717045,3.870800255,3.852373398
RC014,14,YPS606,16,1235,1.278976819,4.053225531,3.893276716
RC016,16,YPS606,60,1236,4.62962963,5.068851551,5.004551809
RC018,18,YPS606,18,1229,1.443464314,3.65268278,2.898691045
RC020,20,YPS606,0,1240,0,4.693141191,4.557436814
RC022,22,YPS606,61,1463,4.002624672,4.87158543,4.964002092
RC023,23,YPS606,101,1727,5.525164114,3.796811337,4.647028442
RC024,24,YPS606,2,437,0.455580866,4.99565437,5.341278943
RC025,25,YPS606,205,3148,6.113927826,4.535427557,4.22329994
RC026,26,YPS606,3,1032,0.289855072,5.098070616,4.744464292
RC028,28,YPS606,85,1549,5.201958384,3.925159585,4.205051479
RC029,29,YPS606,10,729,1.353179973,4.839993015,5.277845905
RC030,30,YPS606,0,443,0,4.997394207,5.332244729
RC032,32,YPS606,33,379,8.009708738,4.576046536,3.645503271
RC034,34,YPS606,285,2076,12.07115629,4.25331488,4.575460615
RC035,35,YPS606,73,891,7.572614108,4.341719114,4.495731837
RC036,36,YPS606,45,555,7.5,4.685665566,5.237574574
RC037,37,YPS606,11,652,1.659125189,2.899283716,2.352694346
RC038,38,YPS606,71,1344,5.017667845,4.993674633,5.984124075
RC039,39,YPS606,367,2745,11.79305913,4.058943588,5.027817351
RC041,41,YPS606,62,1216,4.851330203,4.147049173,3.483519353
RC042,42,YPS606,3,487,0.612244898,3.913219434,3.124470438
RC043,43,YPS606,33,1162,2.761506276,4.420986954,4.77603247
RC044,44,YPS606,9,463,1.906779661,5.874851378,5.470888268
RC045,45,YPS606,96,1285,6.951484432,4.629272551,4.883461553
RC046,46,YPS606,38,977,3.743842365,5.733741848,5.131646684
RC047,47,YPS606,71,1026,6.472196901,4.458525514,4.149261756
RC048,48,YPS606,68,1844,3.556485356,3.986203283,4.696161525
RC102,102,YPS606,13,1304,0.987091875,3.268616735,3.294789417
RC103,103,YPS606,103,1197,7.923076923,2.291155703,2.664037168
RC104,104,YPS606,3,1098,0.272479564,2.055787881,2.824882713
RC105,105,YPS606,55,1873,2.852697095,3.416321665,3.733998986
RC106,106,YPS606,3,1048,0.285442436,1.512064148,1.892870986
RC107,107,YPS606,39,831,4.482758621,3.35576127,3.982707247
RC108,108,YPS606,59,1564,3.635243376,3.070566218,3.687485629
RC109,109,YPS606,45,1831,2.398720682,1.697513187,2.245152675
RC111,111,YPS606,38,1392,2.657342657,2.659592949,3.210068086
RC112,112,YPS606,47,1884,2.433972035,1.955178888,2.392631913
RC113,113,YPS606,6,642,0.925925926,2.735410612,2.63842201
RC114,114,YPS606,48,2382,1.975308642,1.390579113,2.090543122
RC115,115,YPS606,25,596,4.025764895,2.432023789,2.427045893
RC117,117,YPS606,21,903,2.272727273,1.77281897,2.361640617
RC118,118,YPS606,5,1299,0.383435583,2.835412984,2.737011569
RC119,119,YPS606,25,411,5.733944954,3.606867428,3.844696062
RC120,120,YPS606,3,1792,0.167130919,2.358720957,2.218855772
RC121,121,YPS606,22,1246,1.735015773,2.53161519,2.962693019
RC123,123,YPS606,1,761,0.131233596,2.383163817,2.050806613
RC124,124,YPS606,64,1670,3.69088812,3.520374203,4.226196606
RC125,125,YPS606,33,670,4.694167852,3.524514368,3.948794861
RC126,126,YPS606,9,1501,0.59602649,3.510182085,3.719601176
RC127,127,YPS606,53,1841,2.798310454,3.380787751,3.728282146
RC129,129,YPS606,3,1001,0.298804781,1.606796116,1.570475814
RC131,131,YPS606,38,1123,3.273040482,2.47323316,2.764629601
RC132,132,YPS606,2,1319,0.151400454,3.70389159,4.051103598
RC133,133,YPS606,36,1195,2.924451665,2.827060555,3.458004921
RC134,134,YPS606,30,958,3.036437247,3.569336728,3.871702125
RC135,135,YPS606,38,2088,1.787394167,2.985212076,3.300268866
RC136,136,YPS606,6,1102,0.541516245,2.799998935,2.82627478
RC137,137,YPS606,37,1959,1.853707415,2.394952064,2.594241459
RC139,139,YPS606,26,1038,2.443609023,3.731169986,4.146995681
RC140,140,YPS606,10,956,1.035196687,3.070871202,3.709969059
RC141,141,YPS606,14,1027,1.344860711,3.362094505,3.607174128
RC142,142,YPS606,25,1913,1.28998968,3.55191273,3.738616398
RC143,143,YPS606,0,688,0,2.924369024,3.024051906
RC144,144,YPS606,69,1989,3.352769679,1.848057301,2.685689025
RC145,145,YPS606,61,1912,3.091738469,3.807448789,4.19453546
RC146,146,YPS606,31,1399,2.167832168,2.414320448,3.101823502
RC201,201,YPS606,13,1250,1.029295329,3.30516286,3.263823374
RC202,202,YPS606,0,707,0,2.433310765,2.772161922
RC203,203,YPS606,12,535,2.193784278,2.060698273,1.173510799
RC205,205,YPS606,7,1140,0.610287707,2.402473974,2.462999006
RC206,206,YPS606,4,1843,0.216567407,3.186259807,3.149888111
RC207,207,YPS606,12,1764,0.675675676,1.967766655,1.998570201
RC208,208,YPS606,16,1369,1.155234657,2.489861294,2.802587096
RC209,209,YPS606,3,1140,0.262467192,1.094577162,1.214921769
RC210,210,YPS606,76,1740,4.185022026,2.966430191,3.271220868
RC212,212,YPS606,32,1668,1.882352941,2.923181951,3.024327543
RC213,213,YPS606,3,1418,0.21111893,3.080906834,3.342734343
RC214,214,YPS606,5,1772,0.281373101,2.151808762,2.189873692
RC215,215,YPS606,42,2186,1.885098743,3.147669528,3.310582898
RC216,216,YPS606,34,1395,2.379286214,3.560199839,4.015082729
RC217,217,YPS606,18,1308,1.357466063,0.831158521,0.846443374
RC218,218,YPS606,11,1273,0.856697819,3.449942468,3.500326743
RC219,219,YPS606,56,2609,2.101313321,3.524154285,3.500107149
RC221,221,YPS606,2,1578,0.126582278,3.150606496,3.23929531
RC222,222,YPS606,17,1370,1.225666907,2.60123679,2.558485558
RC224,224,YPS606,105,1753,5.65123789,1.958457455,1.616354986
RC227,227,YPS606,5,854,0.582072177,3.228107785,3.539214815
RC228,228,YPS606,14,870,1.583710407,2.792780435,2.723549489
RC229,229,YPS606,14,1799,0.772200772,3.171573899,3.397100309
RC230,230,YPS606,17,1360,1.234567901,3.134668654,3.499220649
RC231,231,YPS606,1,1300,0.076863951,3.500265898,3.763793912
RC232,232,YPS606,6,1470,0.406504065,2.29834325,2.848803029
RC233,233,YPS606,5,1047,0.475285171,2.852034414,2.801358859
RC234,234,YPS606,36,1632,2.158273381,2.883526076,2.80855594
RC236,236,YPS606,42,2451,1.684717208,2.960444473,3.286487234
RC237,237,YPS606,6,1148,0.519930676,2.262120434,2.263305918
RC239,239,YPS606,4,1241,0.321285141,2.961421706,2.868761618
RC240,240,YPS606,1,711,0.140449438,2.299731043,2.692371174
RC241,241,YPS606,30,2436,1.216545012,3.543426726,3.567587493
RC242,242,YPS606,42,2002,2.054794521,2.977939679,3.039058088
RC243,243,YPS606,23,2503,0.910530483,1.287086769,1.772133462
RC244,244,YPS606,9,768,1.158301158,2.213602126,2.352046226
RC245,245,YPS606,10,1223,0.811030008,3.297225326,3.358120296
RC246,246,YPS606,85,2619,3.143491124,3.859323789,3.704116596
RC247,247,YPS606,NA,NA,NA,2.686174137,2.583581658
RC248,248,YPS606,37,1877,1.933124347,2.624006994,2.64830301
RC301,301,YPS606,9,575,1.54109589,3.262510242,2.941298026
RC302,302,YPS606,15,904,1.632208923,3.986471072,3.952694201
RC303,303,YPS606,34,954,3.441295547,4.667502389,4.37966895
RC304,304,YPS606,19,736,2.516556291,4.663689202,4.263859855
RC305,305,YPS606,31,1274,2.375478927,4.394081746,4.89683982
RC306,306,YPS606,25,1135,2.155172414,4.272276888,3.176980585
RC307,307,YPS606,16,1110,1.420959147,3.801897062,3.763325391
RC308,308,YPS606,8,455,1.727861771,3.10174135,3.003364892
RC309,309,YPS606,63,1736,3.501945525,3.926761752,4.02591081
RC310,310,YPS606,10,1311,0.757002271,4.027774234,2.902179717
RC311,311,YPS606,19,1283,1.459293395,4.354006711,4.611163923
RC312,312,YPS606,46,1147,3.85582565,3.855609934,3.108631707
RC313,313,YPS606,85,1302,6.128334535,3.469882175,3.541017838
RC314,314,YPS606,26,2601,0.989722116,5.287487376,3.975699274
RC315,315,YPS606,9,1375,0.650289017,4.125396965,4.06018305
RC316,316,YPS606,52,1155,4.308202154,5.005763392,3.861404076
RC317,317,YPS606,18,524,3.32103321,3.5964772,2.482675944
RC318,318,YPS606,16,1215,1.299756296,3.955979213,3.35169108
RC320,320,YPS606,18,1474,1.206434316,4.066260778,3.61143699
RC321,321,YPS606,24,953,2.456499488,3.273917247,2.867914548
RC322,322,YPS606,11,1224,0.890688259,3.441866128,3.473537039
RC325,325,YPS606,9,650,1.365705615,4.122016734,4.396133549
RC326,326,YPS606,23,1281,1.763803681,4.292050938,3.605579047
RC327,327,YPS606,21,897,2.287581699,3.57994496,2.468546744
RC328,328,YPS606,13,992,1.293532338,4.227564366,3.714524352
RC329,329,YPS606,17,1115,1.501766784,4.361030574,3.55346219
RC330,330,YPS606,6,746,0.79787234,3.415409218,3.092302411
RC331,331,YPS606,25,1011,2.413127413,3.941352765,4.199919352
RC332,332,YPS606,154,797,16.19348055,4.370932465,2.831215873
RC333,333,YPS606,205,1364,13.06564691,3.496743396,1.990715915
RC334,334,YPS606,28,1172,2.333333333,2.833544292,3.303750716
RC337,337,YPS606,37,1226,2.929532858,4.126153575,4.095236263
RC338,338,YPS606,85,1758,4.612045578,2.127343842,1.471839296
RC339,339,YPS606,39,2006,1.907090465,3.944260942,2.287661273
RC340,340,YPS606,76,985,7.163053723,4.459708388,4.73974097
RC341,341,YPS606,14,1346,1.029411765,4.071369578,3.767342194
RC342,342,YPS606,22,813,2.634730539,3.899669928,3.67552042
RC343,343,YPS606,46,1683,2.660497397,3.88450074,3.831359524
RC345,345,YPS606,6,1099,0.542986425,3.860088649,3.726766761
RC346,346,YPS606,11,1478,0.738750839,4.216981173,4.360014413
RC347,347,YPS606,86,1283,6.281957633,4.256575002,4.153881135
